2_RNA_METABOLIC_PROCESS	2_NUCLEUS	1_KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	1_KEGG_TIGHT_JUNCTION	2_VESICLE_COAT	2_INTRACELLULAR_ORGANELLE_PART	1_KEGG_LEISHMANIA_INFECTION	0_HALLMARK_OXIDATIVE_PHOSPHORYLATION	2_PLASMA_MEMBRANE	2_EXTRACELLULAR_MATRIX_PART	2_COLLAGEN	2_CELL_JUNCTION	2_GATED_CHANNEL_ACTIVITY	2_COAGULATION	2_STRUCTURAL_CONSTITUENT_OF_MUSCLE	2_NEGATIVE_REGULATION_OF_PHOSPHORYLATION	1_KEGG_THYROID_CANCER	2_CATION_CHANNEL_ACTIVITY	2_ION_CHANNEL_ACTIVITY	2_BLOOD_COAGULATION	2_DNA_BINDING	1_KEGG_RNA_DEGRADATION	2_CELL_PROLIFERATION_GO_0008283	1_KEGG_ALZHEIMERS_DISEASE	2_CONTRACTILE_FIBER	2_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY	2_CYTOPLASMIC_PART	2_GOLGI_APPARATUS	1_KEGG_BLADDER_CANCER	2_SYNAPTIC_TRANSMISSION	1_KEGG_ASTHMA	2_POSITIVE_REGULATION_OF_CELLULAR_PROCESS	2_VESICLE_MEDIATED_TRANSPORT	1_KEGG_CARDIAC_MUSCLE_CONTRACTION	2_AGING	2_NUCLEAR_LUMEN	2_AXON	1_KEGG_PROSTATE_CANCER	2_NUCLEOPLASM	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2_SARCOMERE	2_CELL_CELL_SIGNALING	0_HALLMARK_PROTEIN_SECRETION	1_KEGG_ALLOGRAFT_REJECTION	0_HALLMARK_E2F_TARGETS	0_HALLMARK_ANGIOGENESIS	1_KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	1_KEGG_AXON_GUIDANCE	2_REGULATION_OF_PHOSPHORYLATION	2_TRANSCRIPTION_DNA_DEPENDENT	2_REGULATION_OF_CELL_CYCLE	0_HALLMARK_COAGULATION	1_KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	1_KEGG_MELANOMA	0_HALLMARK_APOPTOSIS	2_INTRACELLULAR_NON_MEMBRANE_BOUND_ORGANELLE	2_REGULATION_OF_CELLULAR_METABOLIC_PROCESS	1_KEGG_INOSITOL_PHOSPHATE_METABOLISM	2_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	2_CELL_CYCLE_CHECKPOINT_GO_0000075	2_MEMBRANE_COAT	2_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS	2_ANATOMICAL_STRUCTURE_DEVELOPMENT	2_SYSTEM_DEVELOPMENT	0_HALLMARK_UV_RESPONSE_DN	2_INTRACELLULAR_TRANSPORT	1_KEGG_COLORECTAL_CANCER	2_RESPONSE_TO_ENDOGENOUS_STIMULUS	1_KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1_KEGG_ADHERENS_JUNCTION	2_CYTOPLASMIC_VESICLE_MEMBRANE	2_MEMBRANE_ENCLOSED_LUMEN	2_CYTOPLASM	2_ORGANELLE_LUMEN	2_DNA_REPAIR	2_EXTRACELLULAR_REGION_PART	1_KEGG_VIRAL_MYOCARDITIS	2_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	1_KEGG_HUNTINGTONS_DISEASE	2_SERINE_HYDROLASE_ACTIVITY	2_EXTRACELLULAR_STRUCTURE_ORGANIZATION_AND_BIOGENESIS	1_KEGG_WNT_SIGNALING_PATHWAY	1_KEGG_CELL_CYCLE	1_KEGG_TYPE_I_DIABETES_MELLITUS	1_KEGG_FOCAL_ADHESION	2_SYNAPTOGENESIS	0_HALLMARK_APICAL_JUNCTION	1_KEGG_BASE_EXCISION_REPAIR	2_NEGATIVE_REGULATION_OF_PHOSPHATE_METABOLIC_PROCESS	2_SERINE_TYPE_ENDOPEPTIDASE_ACTIVITY	1_KEGG_OXIDATIVE_PHOSPHORYLATION	1_KEGG_ENDOCYTOSIS	2_SUBSTRATE_SPECIFIC_CHANNEL_ACTIVITY	2_DNA_METABOLIC_PROCESS	0_HALLMARK_G2M_CHECKPOINT	2_CELL_CYCLE_GO_0007049	1_KEGG_AUTOIMMUNE_THYROID_DISEASE	2_NUCLEAR_PART	2_APICAL_JUNCTION_COMPLEX	2_DNA_REPLICATION	2_BASEMENT_MEMBRANE	1_KEGG_MISMATCH_REPAIR	2_REGULATION_OF_HEART_CONTRACTION	1_KEGG_P53_SIGNALING_PATHWAY	2_ORGANELLE_PART	2_CELL_CYCLE_PHASE	2_COATED_MEMBRANE	1_KEGG_SMALL_CELL_LUNG_CANCER	2_STRUCTURAL_MOLECULE_ACTIVITY	1_KEGG_CELL_ADHESION_MOLECULES_CAMS	0_HALLMARK_MYOGENESIS	2_M_PHASE	2_PROTEINACEOUS_EXTRACELLULAR_MATRIX	1_KEGG_DILATED_CARDIOMYOPATHY	2_COATED_VESICLE_MEMBRANE	1_KEGG_PANCREATIC_CANCER	2_ESTABLISHMENT_OF_LOCALIZATION	1_KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1_KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	2_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	2_RESPONSE_TO_DNA_DAMAGE_STIMULUS	2_RECEPTOR_COMPLEX	1_KEGG_ENDOMETRIAL_CANCER	2_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	1_KEGG_CALCIUM_SIGNALING_PATHWAY	2_INTEGRIN_COMPLEX	2_MYOFIBRIL	2_CYTOPLASMIC_VESICLE_PART	2_EXTRACELLULAR_MATRIX	1_KEGG_PARKINSONS_DISEASE	2_NON_MEMBRANE_BOUND_ORGANELLE	2_NUCLEOLUS	0_HALLMARK_UNFOLDED_PROTEIN_RESPONSE	2_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	2_SERINE_TYPE_PEPTIDASE_ACTIVITY	2_SYNAPSE_ORGANIZATION_AND_BIOGENESIS	2_CELL_CYCLE_PROCESS	2_GABA_RECEPTOR_ACTIVITY	2_TIGHT_JUNCTION	1_KEGG_ECM_RECEPTOR_INTERACTION	2_HEMOSTASIS	2_BIOPOLYMER_METABOLIC_PROCESS	2_ORGAN_DEVELOPMENT	1_KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	2_CONTRACTILE_FIBER_PART	2_CALCIUM_CHANNEL_ACTIVITY	1_KEGG_GRAFT_VERSUS_HOST_DISEASE	2_VESICLE_MEMBRANE	1_KEGG_PATHWAYS_IN_CANCER	1_KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1_KEGG_DNA_REPLICATION	1_KEGG_MAPK_SIGNALING_PATHWAY
GBM_CDKN2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.599	0	0	0	0	0.66	0	0.517	0	0.551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.816	0	0	0	0	0	0.571	0	0	0	0	0	0.537	0.599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBM_TP53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.785	0	0	0	0	0.774	0	0.763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.763	0	0.505	0	0	0	0	0	0	0	0	0	0.677	0.538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.505	0	0.505	0	0	0	0	0	0	0	0	0	0	0
GBM_CDKN2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.616	0	0	0	0	0.696	0	0.552	0	0.592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.856	0	0	0	0	0	0.608	0	0	0	0	0	0.576	0.648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBM_PTEN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.695	0	0	0	0	0.516	0	0.516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.558	0	0.663	0	0	0	0	0	0	0	0	0	0.442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.495	0	0.621	0	0	0	0	0	0	0	0	0	0	0
GBM_HLA-DRB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.694	0	0	0	0	0	0	0	0.613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.661	0	0	0	0	0	0	0.661	0	0	0	0	0	0	0	0	0	0	0	0	0.661	0	0	0	0	0	0	0	0	0	0	0	0	0.613	0	0	0	0	0	0	0	0.661	0	0.645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.661	0	0	0	0
GBM_CDK4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.676	0	0	0	0	0.919	0	0.703	0	0	0	0	0	0	0	0	0.595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.919	0	0	0	0	0	0	0	0	0	0	0	0.784	0.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.595	0	0	0	0	0	0	0	0	0.541	0	0	0	0	0	0	0	0	0	0	0
GBM_SEC61G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.358	0	0	0	0	0.358	0	0.264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.377	0	0.264	0	0	0	0	0	0	0	0	0	0.283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.264	0	0.321	0	0	0	0	0	0	0	0	0	0	0.208
GBM_PIK3CA	0	0	0	0	0	0	0	0	0	0	0.433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.867	0	0	0	0	0.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.667	0	0.7	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0.6	0	0	0	0	0	0	0	0	0	0	0
GBM_PRKY	0	0	0	0	0	0	0	0	0	0	0	0.245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.245	0	0	0	0	0	0	0	0	0.396	0	0	0	0	0.321	0	0.245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.377	0	0	0	0	0	0	0	0	0	0	0	0.245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.453	0	0.302	0	0	0	0	0	0	0	0	0	0	0
GBM_PIK3R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0.567	0	0.467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.633	0	0.667	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.767	0	0.633	0	0	0	0	0	0	0	0	0	0	0
GBM_RB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.636	0	0	0	0	0.818	0	0.636	0	0	0	0.591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.818	0	0.591	0	0	0	0	0	0	0	0	0	0.773	0.682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.545	0	0	0	0	0	0	0	0	0	0	0
GBM_TBL1Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.727	0	0	0	0	0.727	0	0.636	0	0	0	0.455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.818	0	0	0	0	0	0	0	0	0	0	0	0.636	0.545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.591	0	0.545	0	0	0	0	0	0	0	0	0	0	0
GBM_TTN	0	0	0	0	0	0	0	0	0	0	0.588	0.529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.824	0	0	0	0	0.529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.588	0	0.647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.647	0	0.706	0	0	0	0	0	0	0	0	0	0	0
GBM_NF1	0	0	0	0	0	0	0	0	0	0	0.556	0.556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.722	0	0.667	0	0	0	0	0	0	0	0	0	0	0
GBM_DCTN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.65	0	0.55	0	0	0	0.5	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBM_KIT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.667	0	0	0	0	0.542	0	0.542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.583	0	0.708	0	0	0	0	0	0	0	0	0	0.542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.625	0	0	0	0	0	0	0	0	0.667	0	0
GBM_KLHL9	0	0	0	0	0	0	0	0	0	0	0	0.265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.412	0	0	0	0	0.441	0	0.382	0	0.294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.441	0	0.324	0	0	0	0	0	0	0	0	0	0.382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.353	0	0	0	0	0	0	0	0	0	0	0
GBM_GLI1	0	0	0	0	0	0	0	0.538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.538	0	0	0	0	0	0	0	0.692	0	0	0	0	0.538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.538	0.538	0	0	0	0	0	0	0	0	0	0	0	0	0.538	0	0	0	0	0	0	0	0	0	0	0	0	0.538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.538	0	0	0	0
GBM_PIK3C2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.824	0	0	0	0	0.529	0.471	0.471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.529	0	0.647	0	0	0	0	0	0	0	0	0	0.471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.706	0	0	0	0	0	0	0	0	0	0	0
BLCA_TTN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.938	0	0	0	0	0	0	0	0	0.848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.777	0	0	0	0	0	0	0.848	0	0	0.795	0	0	0	0	0	0	0.598	0	0	0	0	0	0	0	0.839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.875	0	0	0	0	0	0
BLCA_TP53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.523	0	0	0	0	0	0	0	0	0.488	0	0	0	0	0	0	0	0	0	0	0	0	0	0.581	0.477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.651	0	0	0.535	0	0	0	0	0	0	0.523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.512	0	0	0	0	0	0
BLCA_PIK3CA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0.543	0	0	0	0	0	0	0	0	0	0	0	0	0	0.543	0.543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.686	0	0	0.514	0	0	0	0	0	0	0.514	0	0	0	0	0	0	0	0.543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.571	0	0	0	0	0	0
BLCA_CDKN2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.667	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.667	0.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.633	0	0	0	0	0	0	0.767	0	0	0.633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.733	0	0	0	0	0	0
BLCA_EP300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64	0	0	0	0	0	0	0	0	0.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52	0	0	0	0	0	0	0.76	0	0	0.64	0	0	0	0	0	0	0.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0	0	0	0	0	0
BLCA_RYR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0.567	0	0	0	0	0	0	0.6	0	0	0.6	0	0	0	0	0	0	0	0.6	0	0	0	0	0.667	0	0	0	0	0	0	0	0	0.767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLCA_ARID1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.571	0	0	0	0	0	0	0	0	0.536	0	0	0	0	0	0	0	0	0	0	0	0	0	0.571	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.679	0	0	0.5	0	0	0	0	0	0	0.643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.536	0	0	0	0	0	0	0	0	0	0	0.536	0	0	0	0	0	0
BLCA_FGFR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.7	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0.6	0	0	0	0	0	0
BLCA_FGFR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.765	0	0	0	0	0	0	0	0	0.647	0	0	0	0	0	0	0	0	0	0	0	0	0	0.824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.647	0	0	0	0	0	0	0.882	0	0	0.765	0	0	0	0	0	0	0.824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.765	0	0	0	0	0	0	0	0	0	0	0	0.706	0	0	0	0	0
BLCA_ZFHX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.526	0	0	0	0	0	0	0	0	0.579	0	0	0	0	0	0	0	0	0	0	0	0	0	0.579	0.421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.526	0	0	0	0	0	0	0.579	0	0	0.474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.526	0	0	0	0	0	0
BLCA_CDKN2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0.65	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
BLCA_DMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.611	0	0	0	0	0	0	0	0	0.556	0	0	0	0	0	0	0	0	0	0	0	0	0	0.611	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.611	0	0	0	0	0	0	0.778	0	0	0.611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.611	0	0	0	0	0	0
